Reaction_Rate	A_Concentration	B_Concentration
0.031508590752184096	0.4370861069626263	0.8066583652537123
0.0076417261654861054	0.9556428757689246	0.2797064039425238
0.024110520637751962	0.7587945476302645	0.5628109945722505
0.026119701746854983	0.6387926357773329	0.6331731119758383
0.012779851834213452	0.24041677639819287	0.14180537144799796
0.012971372107419036	0.2403950683025824	0.6467903667112945
0.0021718945729376606	0.15227525095137953	0.2534717113185624
0.0084969229165435	0.8795585311974417	0.1585464336867516
0.05900254977829094	0.6410035105688879	0.9539969835279999
0.08672042016566593	0.737265320016441	0.9690688297671034
0.00870807129450854	0.1185260448662222	0.827557613304815
0.01445401448739432	0.9729188669457949	0.3741523922560336
0.005575877658320318	0.8491983767203796	0.1879049026057455
0.017020333711726204	0.29110519961044856	0.7158097238609412
0.01246876658267346	0.26364247048639056	0.4961372443656412
0.006045554743300316	0.2650640588680905	0.20983441136030095
0.015091815632419243	0.373818018663584	0.5456592191001431
0.0015191557056114316	0.5722807884690141	0.13094966900369656
0.041840297884885795	0.48875051677790415	0.9183883618709039
0.009366242944738572	0.36210622617823773	0.3329019834400152
0.03283538908776	0.6506676052501416	0.6962700559185838
0.0034600141569310467	0.22554447458683766	0.3805399684804699
0.018596393931866115	0.3629301836816964	0.5680612190600297
0.023111204860459457	0.4297256589643226	0.5920392514089517
0.007335474863620851	0.5104629857953323	0.26636900997297436
